src,tgt
router wi‑fi pinn ổn. bị trể lịch giao.,Router Wi‑Fi pin ổn. bị trễ lịch giao.
Máy lọc khong khí siêu tệ. khó liên hệ. 💔,Máy lọc không khí rất tệ. khó liên hệ.
màn hình độ hoàn thiện cao. giao hàng đúng hẹn. hỗ trợ nhiệt tình. giá hơi cao.,Màn hình độ hoàn thiện cao. giao hàng đúng hẹn. hỗ trợ nhiệt tình. giá hơi cao.
Laptop do hoan thien cao. khong hai long.,Laptop độ hoàn thiện cao. không hài lòng.
san pham chat luong kem. rat that vong.,Sản phẩm chất lượng kém. rất thất vọng.
router wi‑fi dang tien. minh rat thich.,Router Wi‑Fi đáng tiền. mình rất thích.
dien thoai xung dang voi gia tien. dong goi chac chan.,Điện thoại xứng đáng với giá tiền. đóng gói chắc chắn.
loa âm thanh ổn. max thất vọng. 👎,Loa âm thanh ổn. rất thất vọng.
loa dang tien. gia dat.,Loa đáng tiền. giá đắt.
Bàn phím cơ chất lượng rat tốt. gia rẻ.,Bàn phím cơ chất lượng rất tốt. giá rẻ.
Loa man hinh bi ho sang. minh rat thich.,Loa màn hình bị hở sáng. mình rất thích.
ban phim co chat luong rat tot. khong hai long.,Bàn phím cơ chất lượng rất tốt. không hài lòng.
máy lọc khong khí xứng đáng w $ tiền. giao hàng chuẩn hẹn. đóng gói chắc chắn.,Máy lọc không khí xứng đáng với giá tiền. giao hàng đúng hẹn. đóng gói chắc chắn.
Dien thoai dang that vong. gia dat.,Điện thoại đáng thất vọng. giá đắt.
sản phẩm hong như mô tả. đóng gói chắc chắn.,Sản phẩm không như mô tả. đóng gói chắc chắn.
San pham tuyet voi. phan hoi cham.,Sản phẩm tuyệt vời. phản hồi chậm.
màn hình âm thanh tệ. mình rất thích.,Màn hình âm thanh tệ. mình rất thích.
Pinn du phong man hinh bi ho sang. khong hai long.,Pin dự phòng màn hình bị hở sáng. không hài lòng.
điện thoại pin ổn. giao hàng nhanh.,Điện thoại pin ổn. giao hàng nhanh.
loa xứng đáng w $ tiền. gia hợp lý.,Loa xứng đáng với giá tiền. giá hợp lý.
Pin du phong that vong. giao hoi cham. ho tro nhiet tinh. gia re.,Pin dự phòng thất vọng. giao hơi chậm. hỗ trợ nhiệt tình. giá rẻ.
điện thoại audio ổn. cực tv.,Điện thoại âm thanh ổn. rất thất vọng.
tai nghe pinn tụt nhanh. giao hàng chuẩn hẹn.,Tai nghe pin tụt nhanh. giao hàng đúng hẹn.
router wi‑fi battery tốt. giao hàng nhanh.,Router Wi‑Fi pin tốt. giao hàng nhanh.
router wi‑fi chat luong rat tot. giao hoi cham. dong goi so sai.,Router Wi‑Fi chất lượng rất tốt. giao hơi chậm. đóng gói sơ sài.
máy lọc không khí pin tốt. bị trễ lịch giao.,Máy lọc không khí pin tốt. bị trễ lịch giao.
tai nghe that vong. gia dat.,Tai nghe thất vọng. giá đắt.
Loa battery yếu. giao hàng chuan hẹn.,Loa pin yếu. giao hàng đúng hẹn.
Man hinh do hoan thien cao. phan hoi cham.,Màn hình độ hoàn thiện cao. phản hồi chậm.
laptop am thanh rè. không ưng bụng.,Laptop âm thanh rè. không hài lòng.
Loa do hoan thien cao. phan hoi nhanh.,Loa độ hoàn thiện cao. phản hồi nhanh.
Loa tuyệt vời. âm thanh rè. màn hình ổn. 💖,Loa tuyệt vời. âm thanh rè. màn hình ổn.
Loa pin on. giao hang dung hen.,Loa pin ổn. giao hàng đúng hẹn.
